Sand;Silt;Clay;B;Cu;Fe;Mn;pH;OM;P;S;Ca;Mg;K;Al;N;C;BD;N15;C13;C/N;H+Al;SB;CEC;V;m;Longitude;Latitude;Elevation;Cstock
0.910;0.027;0.063;0.23;0.5;18.1;1.7;4.44;12.4;3.3;12.2;2.8;3;1.06;6.3;0.06;0.71;1.57;4.39;-26.17;12.76;35.7;6.9;42.6;16;48;704787;7529115;533;22.33
0.913;0.024;0.063;0.23;0.8;70.1;2.4;4.01;15;3.1;15.7;0.3;1.8;1.41;11.9;0.05;0.59;1.54;4.15;-26.37;12.98;42.7;3.5;46.2;8;77;704912;7529061;540;18.27
0.881;0.018;0.101;0.33;0.8;17.4;1.3;4.94;18.4;8;9.4;24.1;8.9;1.88;0.5;0.07;0.98;1.76;3.34;-26.33;13.26;26.8;34.9;61.7;57;1;704494;7528901;534;34.52
0.872;0.015;0.113;0.21;0.7;41.7;2.5;4.11;12.4;4.4;13.2;2.6;2.7;1.37;8.4;0.05;0.62;1.54;5.73;-25.01;13.2;38;6.7;44.7;15;56;704773;7528860;534;19.18
0.910;0.027;0.063;0.21;0.5;26.9;1.7;4.16;12;4.2;10.9;0.9;2.1;0.65;8.2;0.06;0.77;1.54;4.17;-26.15;12.51;37.2;3.7;40.9;9;69;704939;7528871;541;23.84
0.912;0.025;0.063;0.27;0.7;93.4;2.5;3.94;13.7;3.5;15.1;1.1;1.8;0.86;11.2;0.04;0.59;1.55;3.95;-26.44;13.9;40.9;3.8;44.7;8;75;705097;7528875;556;18.30
0.898;0.027;0.075;0.27;0.9;28.8;4.2;4.07;12.4;3.8;13.1;2.1;2.2;1.48;10.2;0.05;0.58;1.56;3.97;-26.14;11.68;38.8;5.8;44.6;13;64;704436;7528669;541;18.09
0.938;0.012;0.050;0.15;1.9;126.4;1.5;4.04;13.7;4.9;8.7;1.9;0.8;0.79;7.9;0.05;0.64;1.55;4.02;-16.04;13.08;37.6;3.5;41.1;8;69;704762;7528639;549;19.90
0.864;0.010;0.126;0.18;4.5;279.7;1.2;4.1;21;5.3;8.4;10.4;1.4;0.74;11.3;0.07;1.02;1.58;5.26;-15.74;15.16;67.8;12.5;80.3;16;47;704897;7528697;532;32.24
0.877;0.022;0.101;0.21;0.6;41.6;3.3;4.13;19;3.1;9.3;3.3;3.5;0.73;9;0.05;0.73;1.55;3.99;-22.37;14.67;43.6;7.5;51.1;15;54;705116;7528688;553;22.75
